record_id,source,material_code,description,attributes,ground_truth_group,variant
cpse-09085,catalogue,GAI-SINGLETON_0584-09085,UNIQUE CPSE MATERIAL 0584 CERAMIC LINER,"{""size"": ""1584 mm"", ""standard"": ""CPSE-OTHER""}",singleton_0584,unrelated
cpse-04757,maintenance,COA-EQUIVALENT_1189-04757,STEEL BOLT M10 GRADE C ITEM 1189,"{""grade"": ""C"", ""size"": ""M10"", ""standard"": ""ISO 4014-1189""}",equivalent_1189,exact
cpse-05996,maintenance,SAI-EQUIVALENT_1498-05996,SPIRAL WOUND GASKET DN50 ITEM 1498,"{""size"": ""DN50"", ""standard"": ""ASME B16.20-1498""}",equivalent_1498,unit_format
cpse-09523,catalogue,IOC-SINGLETON_1022-09523,UNIQUE CPSE MATERIAL 1022 CERAMIC LINER,"{""size"": ""2022 mm"", ""standard"": ""CPSE-OTHER""}",singleton_1022,unrelated
cpse-02316,erp,SAI-EQUIVALENT_0578-02316,STEEL BOLT M12 GRADE B ITEM 0578,"{""grade"": ""B"", ""size"": ""M12"", ""standard"": ""ISO 4014-0578""}",equivalent_0578,unit_format
cpse-05038,catalogue,POW-EQUIVALENT_1259-05038,INDUCTION MOTOR 5 KW 415 V ITEM 1259,"{""size"": ""5 kW"", ""standard"": ""CPSE-1259"", ""voltage"": ""415 V""}",equivalent_1259,abbreviation
cpse-04686,erp,SAI-EQUIVALENT_1171-04686,POWER CABLE 4 CORE 240 V ITEM 1171,"{""size"": ""4 core"", ""standard"": ""CPSE-1171"", ""voltage"": ""240 V""}",equivalent_1171,abbreviation
cpse-04336,catalogue,SAI-EQUIVALENT_1083-04336,STEEL HEX NUT 10 mm GRADE B ITEM 1083,"{""grade"": ""B"", ""size"": ""M10"", ""standard"": ""ISO 4032-1083""}",equivalent_1083,unit_format
cpse-05118,erp,POW-EQUIVALENT_1279-05118,POWER CABLE 4 CORE 240 V ITEM 1279,"{""size"": ""4 core"", ""standard"": ""CPSE-1279"", ""voltage"": ""240 V""}",equivalent_1279,abbreviation
cpse-02185,catalogue,GAI-EQUIVALENT_0546-02185,GATE VALVE 50 MM 150 PSI ITEM 0546,"{""pressure"": ""150 psi"", ""size"": ""50 mm"", ""standard"": ""API 600-0546""}",equivalent_0546,exact
cpse-07942,catalogue,BHE-EQUIVALENT_1985-07942,CARBON STEEL PIPE 50 MM SCH 40 ITEM 1985,"{""size"": ""50 mm"", ""standard"": ""ASTM A106-1985""}",equivalent_1985,abbreviation
cpse-06164,maintenance,ONG-EQUIVALENT_1540-06164,STEEL WASHER M10 बोल्ट ITEM 1540,"{""size"": ""M10"", ""standard"": ""ISO 7089-1540""}",equivalent_1540,multilingual
cpse-00688,catalogue,POW-EQUIVALENT_0171-00688,STEEL HEX NUT 10 mm GRADE B ITEM 0171,"{""grade"": ""B"", ""size"": ""M10"", ""standard"": ""ISO 4032-0171""}",equivalent_0171,unit_format
cpse-02434,catalogue,ONG-EQUIVALENT_0608-02434,DEEP GROOVE BALL BEARING 6205 ITEM 0608,"{""size"": ""6205"", ""standard"": ""ISO 15-0608""}",equivalent_0608,abbreviation
cpse-06607,catalogue,COA-EQUIVALENT_1651-06607,ITEM 1651 POWER CABLE 4 CORE 240 V,"{""size"": ""4 core"", ""standard"": ""CPSE-1651"", ""voltage"": ""240 V""}",equivalent_1651,terminology
cpse-09684,erp,ONG-SINGLETON_1183-09684,UNIQUE CPSE MATERIAL 1183 CERAMIC LINER,"{""size"": ""2183 mm"", ""standard"": ""CPSE-OTHER""}",singleton_1183,unrelated
cpse-06365,maintenance,GAI-EQUIVALENT_1591-06365,POWER CABLE 4 CORE 240 V ITEM 1591,"{""size"": ""4 core"", ""standard"": ""CPSE-1591"", ""voltage"": ""240 V""}",equivalent_1591,exact
cpse-01253,maintenance,IOC-EQUIVALENT_0313-01253,STEEL BOLT M10 GRADE C ITEM 0313,"{""grade"": ""C"", ""size"": ""M10"", ""standard"": ""ISO 4014-0313""}",equivalent_0313,exact
cpse-04823,maintenance,IOC-EQUIVALENT_1205-04823,ITEM 1205 CARBON STEEL PIPE 50 MM SCH 40,"{""size"": ""50 mm"", ""standard"": ""ASTM A106-1205""}",equivalent_1205,terminology
cpse-08930,maintenance,HPC-SINGLETON_0429-08930,UNIQUE CPSE MATERIAL 0429 CERAMIC LINER,"{""size"": ""1429 mm"", ""standard"": ""CPSE-OTHER""}",singleton_0429,unrelated
cpse-02545,catalogue,GAI-EQUIVALENT_0636-02545,STEEL BOLT M10 GRADE B ITEM 0636,"{""grade"": ""B"", ""size"": ""M10"", ""standard"": ""ISO 4014-0636""}",equivalent_0636,exact
cpse-00727,catalogue,COA-EQUIVALENT_0181-00727,ITEM 0181 STEEL HEX BOLT M10 GRADE C,"{""grade"": ""C"", ""size"": ""M10"", ""standard"": ""ISO 4014-0181""}",equivalent_0181,terminology
cpse-07563,erp,IOC-EQUIVALENT_1890-07563,ITEM 1890 GATE VALVE 50 MM 150 PSI,"{""pressure"": ""150 psi"", ""size"": ""50 mm"", ""standard"": ""API 600-1890""}",equivalent_1890,terminology
cpse-04616,maintenance,SAI-EQUIVALENT_1153-04616,STEEL BOLT 10 mm GRADE C ITEM 1153,"{""grade"": ""C"", ""size"": ""M10"", ""standard"": ""ISO 4014-1153""}",equivalent_1153,unit_format
cpse-08995,catalogue,GAI-SINGLETON_0494-08995,UNIQUE CPSE MATERIAL 0494 CERAMIC LINER,"{""size"": ""1494 mm"", ""standard"": ""CPSE-OTHER""}",singleton_0494,unrelated
cpse-09164,maintenance,ONG-SINGLETON_0663-09164,UNIQUE CPSE MATERIAL 0663 CERAMIC LINER,"{""size"": ""1663 mm"", ""standard"": ""CPSE-OTHER""}",singleton_0663,unrelated
cpse-07047,erp,COA-EQUIVALENT_1761-07047,ITEM 1761 WELD NECK FLANGE DN50 PN16,"{""pressure"": ""PN16"", ""size"": ""DN50"", ""standard"": ""EN 1092-1761""}",equivalent_1761,terminology
cpse-09972,erp,BHE-SINGLETON_1471-09972,UNIQUE CPSE MATERIAL 1471 CERAMIC LINER,"{""size"": ""2471 mm"", ""standard"": ""CPSE-OTHER""}",singleton_1471,unrelated
cpse-08598,erp,POW-SINGLETON_0097-08598,UNIQUE CPSE MATERIAL 0097 CERAMIC LINER,"{""size"": ""1097 mm"", ""standard"": ""CPSE-OTHER""}",singleton_0097,unrelated
cpse-00444,erp,ONG-EQUIVALENT_0110-00444,STEEL BOLT M12 GRADE B बोल्ट ITEM 0110,"{""grade"": ""B"", ""size"": ""M12"", ""standard"": ""ISO 4014-0110""}",equivalent_0110,multilingual
cpse-08222,maintenance,BHE-NEAR_MISS_0110_B-08222,WELD NECK FLANGE DN50 PN40 ITEM NM0110,"{""pressure"": ""PN40"", ""size"": ""DN50"", ""standard"": ""EN 1092""}",near_miss_0110_b,near_duplicate
cpse-06969,erp,BPC-EQUIVALENT_1742-06969,STEEL BOLT M12 GRADE B ITEM 1742,"{""grade"": ""B"", ""size"": ""M12"", ""standard"": ""ISO 4014-1742""}",equivalent_1742,exact
cpse-05292,erp,BHE-EQUIVALENT_1322-05292,STEEL BOLT M12 GRADE B ITEM 1322,"{""grade"": ""B"", ""size"": ""M12"", ""standard"": ""ISO 4014-1322""}",equivalent_1322,unit_format
cpse-06031,catalogue,NTP-EQUIVALENT_1507-06031,ITEM 1507 POWER CABLE 4 CORE 240 V,"{""size"": ""4 core"", ""standard"": ""CPSE-1507"", ""voltage"": ""240 V""}",equivalent_1507,terminology
cpse-03781,catalogue,NTP-EQUIVALENT_0945-03781,WELD NECK FLANGE DN50 PN16 ITEM 0945,"{""pressure"": ""PN16"", ""size"": ""DN50"", ""standard"": ""EN 1092-0945""}",equivalent_0945,exact
cpse-08213,maintenance,IOC-NEAR_MISS_0106_A-08213,WELD NECK FLANGE DN50 PN16 ITEM NM0106,"{""pressure"": ""PN16"", ""size"": ""DN50"", ""standard"": ""EN 1092""}",near_miss_0106_a,near_duplicate
cpse-09739,catalogue,BPC-SINGLETON_1238-09739,UNIQUE CPSE MATERIAL 1238 CERAMIC LINER,"{""size"": ""2238 mm"", ""standard"": ""CPSE-OTHER""}",singleton_1238,unrelated
cpse-01418,maintenance,POW-EQUIVALENT_0354-01418,GATE VALVE 50 MM 150 PSI ITEM 0354,"{""pressure"": ""150 psi"", ""size"": ""50 mm"", ""standard"": ""API 600-0354""}",equivalent_0354,abbreviation
cpse-03061,catalogue,NTP-EQUIVALENT_0765-03061,WELD NECK FLANGE DN50 PN16 ITEM 0765,"{""pressure"": ""PN16"", ""size"": ""DN50"", ""standard"": ""EN 1092-0765""}",equivalent_0765,exact
cpse-00625,catalogue,GAI-EQUIVALENT_0156-00625,STEEL BOLT M10 GRADE B ITEM 0156,"{""grade"": ""B"", ""size"": ""M10"", ""standard"": ""ISO 4014-0156""}",equivalent_0156,exact
cpse-03482,maintenance,BHE-EQUIVALENT_0870-03482,GATE VALVE 50 MM 150 PSI ITEM 0870,"{""pressure"": ""150 psi"", ""size"": ""50 mm"", ""standard"": ""API 600-0870""}",equivalent_0870,abbreviation
cpse-09882,erp,BHE-SINGLETON_1381-09882,UNIQUE CPSE MATERIAL 1381 CERAMIC LINER,"{""size"": ""2381 mm"", ""standard"": ""CPSE-OTHER""}",singleton_1381,unrelated
cpse-08637,erp,COA-SINGLETON_0136-08637,UNIQUE CPSE MATERIAL 0136 CERAMIC LINER,"{""size"": ""1136 mm"", ""standard"": ""CPSE-OTHER""}",singleton_0136,unrelated
cpse-08294,maintenance,ONG-NEAR_MISS_0146_B-08294,WELD NECK FLANGE DN50 PN40 ITEM NM0146,"{""pressure"": ""PN40"", ""size"": ""DN50"", ""standard"": ""EN 1092""}",near_miss_0146_b,near_duplicate
cpse-01255,catalogue,GAI-EQUIVALENT_0313-01255,ITEM 0313 STEEL HEX BOLT M10 GRADE C,"{""grade"": ""C"", ""size"": ""M10"", ""standard"": ""ISO 4014-0313""}",equivalent_0313,terminology
cpse-01044,erp,ONG-EQUIVALENT_0260-01044,DEEP GROOVE BALL BEARING 6205 बोल्ट ITEM 0260,"{""size"": ""6205"", ""standard"": ""ISO 15-0260""}",equivalent_0260,multilingual
cpse-00887,maintenance,COA-EQUIVALENT_0221-00887,ITEM 0221 CARBON STEEL PIPE 50 MM SCH 40,"{""size"": ""50 mm"", ""standard"": ""ASTM A106-0221""}",equivalent_0221,terminology
cpse-04500,erp,HPC-EQUIVALENT_1124-04500,DEEP GROOVE BALL BEARING 6205 ITEM 1124,"{""size"": ""6205"", ""standard"": ""ISO 15-1124""}",equivalent_1124,unit_format
cpse-08407,catalogue,COA-NEAR_MISS_0203_A-08407,CARBON STEEL PIPE 10 MM SCH 40 ITEM NM0203,"{""size"": ""10 mm"", ""standard"": ""ASTM A106""}",near_miss_0203_a,near_duplicate
cpse-08033,maintenance,IOC-NEAR_MISS_0016_A-08033,STEEL BOLT M10 GRADE B ITEM NM0016,"{""grade"": ""B"", ""size"": ""M10"", ""standard"": ""ISO 4014""}",near_miss_0016_a,near_duplicate
cpse-00120,erp,HPC-EQUIVALENT_0029-00120,CARBON STEEL PIPE 50mm SCH 40 ITEM 0029,"{""size"": ""50 mm"", ""standard"": ""ASTM A106-0029""}",equivalent_0029,unit_format
cpse-02101,catalogue,NTP-EQUIVALENT_0525-02101,WELD NECK FLANGE DN50 PN16 ITEM 0525,"{""pressure"": ""PN16"", ""size"": ""DN50"", ""standard"": ""EN 1092-0525""}",equivalent_0525,exact
cpse-04181,maintenance,NTP-EQUIVALENT_1045-04181,STEEL BOLT M10 GRADE C ITEM 1045,"{""grade"": ""C"", ""size"": ""M10"", ""standard"": ""ISO 4014-1045""}",equivalent_1045,exact
cpse-05598,erp,POW-EQUIVALENT_1399-05598,POWER CABLE 4 CORE 240 V ITEM 1399,"{""size"": ""4 core"", ""standard"": ""CPSE-1399"", ""voltage"": ""240 V""}",equivalent_1399,abbreviation
cpse-05529,erp,BPC-EQUIVALENT_1382-05529,STEEL BOLT M12 GRADE B ITEM 1382,"{""grade"": ""B"", ""size"": ""M12"", ""standard"": ""ISO 4014-1382""}",equivalent_1382,exact
cpse-08145,erp,GAI-NEAR_MISS_0072_A-08145,STEEL BOLT M10 GRADE B ITEM NM0072,"{""grade"": ""B"", ""size"": ""M10"", ""standard"": ""ISO 4014""}",near_miss_0072_a,near_duplicate
cpse-04900,catalogue,HPC-EQUIVALENT_1224-04900,STEEL BOLT 10 mm GRADE B ITEM 1224,"{""grade"": ""B"", ""size"": ""M10"", ""standard"": ""ISO 4014-1224""}",equivalent_1224,unit_format
cpse-09680,maintenance,HPC-SINGLETON_1179-09680,UNIQUE CPSE MATERIAL 1179 CERAMIC LINER,"{""size"": ""2179 mm"", ""standard"": ""CPSE-OTHER""}",singleton_1179,unrelated
cpse-05909,maintenance,BPC-EQUIVALENT_1477-05909,STEEL BOLT M10 GRADE C ITEM 1477,"{""grade"": ""C"", ""size"": ""M10"", ""standard"": ""ISO 4014-1477""}",equivalent_1477,exact
cpse-02779,catalogue,BPC-EQUIVALENT_0694-02779,ITEM 0694 SPIRAL WOUND GASKET DN50,"{""size"": ""DN50"", ""standard"": ""ASME B16.20-0694""}",equivalent_0694,terminology
cpse-08340,erp,HPC-NEAR_MISS_0169_B-08340,POWER CABLE 4 CORE 415 V ITEM NM0169,"{""size"": ""4 core"", ""voltage"": ""415 V""}",near_miss_0169_b,near_duplicate
cpse-03537,erp,COA-EQUIVALENT_0884-03537,DEEP GROOVE BALL BEARING 6205 ITEM 0884,"{""size"": ""6205"", ""standard"": ""ISO 15-0884""}",equivalent_0884,exact
cpse-02386,catalogue,SAI-EQUIVALENT_0596-02386,DEEP GROOVE BALL BEARING 6205 ITEM 0596,"{""size"": ""6205"", ""standard"": ""ISO 15-0596""}",equivalent_0596,abbreviation
cpse-08840,maintenance,HPC-SINGLETON_0339-08840,UNIQUE CPSE MATERIAL 0339 CERAMIC LINER,"{""size"": ""1339 mm"", ""standard"": ""CPSE-OTHER""}",singleton_0339,unrelated
cpse-05868,erp,POW-EQUIVALENT_1466-05868,STEEL BOLT M12 GRADE B ITEM 1466,"{""grade"": ""B"", ""size"": ""M12"", ""standard"": ""ISO 4014-1466""}",equivalent_1466,unit_format
cpse-00254,maintenance,ONG-EQUIVALENT_0063-00254,STEEL HEX NUT M10 GR B ITEM 0063,"{""grade"": ""B"", ""size"": ""M10"", ""standard"": ""ISO 4032-0063""}",equivalent_0063,abbreviation
cpse-05060,maintenance,HPC-EQUIVALENT_1264-05060,STEEL WASHER 10 mm ITEM 1264,"{""size"": ""M10"", ""standard"": ""ISO 7089-1264""}",equivalent_1264,unit_format
cpse-09810,erp,HPC-SINGLETON_1309-09810,UNIQUE CPSE MATERIAL 1309 CERAMIC LINER,"{""size"": ""2309 mm"", ""standard"": ""CPSE-OTHER""}",singleton_1309,unrelated
cpse-05054,maintenance,ONG-EQUIVALENT_1263-05054,STEEL HEX NUT M10 GR B ITEM 1263,"{""grade"": ""B"", ""size"": ""M10"", ""standard"": ""ISO 4032-1263""}",equivalent_1263,abbreviation
cpse-09741,erp,NTP-SINGLETON_1240-09741,UNIQUE CPSE MATERIAL 1240 CERAMIC LINER,"{""size"": ""2240 mm"", ""standard"": ""CPSE-OTHER""}",singleton_1240,unrelated
cpse-00094,catalogue,ONG-EQUIVALENT_0023-00094,INDUCTION MOTOR 5 KW 415 V ITEM 0023,"{""size"": ""5 kW"", ""standard"": ""CPSE-0023"", ""voltage"": ""415 V""}",equivalent_0023,abbreviation
cpse-02525,maintenance,GAI-EQUIVALENT_0631-02525,POWER CABLE 4 CORE 240 V ITEM 0631,"{""size"": ""4 core"", ""standard"": ""CPSE-0631"", ""voltage"": ""240 V""}",equivalent_0631,exact
cpse-08898,erp,POW-SINGLETON_0397-08898,UNIQUE CPSE MATERIAL 0397 CERAMIC LINER,"{""size"": ""1397 mm"", ""standard"": ""CPSE-OTHER""}",singleton_0397,unrelated
cpse-05982,erp,BHE-EQUIVALENT_1495-05982,POWER CABLE 4 CORE 240 V ITEM 1495,"{""size"": ""4 core"", ""standard"": ""CPSE-1495"", ""voltage"": ""240 V""}",equivalent_1495,abbreviation
cpse-01754,maintenance,ONG-EQUIVALENT_0438-01754,GATE VALVE 50 MM 150 PSI ITEM 0438,"{""pressure"": ""150 psi"", ""size"": ""50 mm"", ""standard"": ""API 600-0438""}",equivalent_0438,abbreviation
cpse-06904,catalogue,ONG-EQUIVALENT_1725-06904,WELD NECK FLANGE DN50 PN16 बोल्ट ITEM 1725,"{""pressure"": ""PN16"", ""size"": ""DN50"", ""standard"": ""EN 1092-1725""}",equivalent_1725,multilingual
cpse-04333,catalogue,IOC-EQUIVALENT_1083-04333,STEEL HEX NUT M10 GRADE B ITEM 1083,"{""grade"": ""B"", ""size"": ""M10"", ""standard"": ""ISO 4032-1083""}",equivalent_1083,exact
cpse-03646,catalogue,SAI-EQUIVALENT_0911-03646,INDUCTION MOTOR 5 KW 415 V ITEM 0911,"{""size"": ""5 kW"", ""standard"": ""CPSE-0911"", ""voltage"": ""415 V""}",equivalent_0911,abbreviation
cpse-09503,maintenance,IOC-SINGLETON_1002-09503,UNIQUE CPSE MATERIAL 1002 CERAMIC LINER,"{""size"": ""2002 mm"", ""standard"": ""CPSE-OTHER""}",singleton_1002,unrelated
cpse-00360,erp,HPC-EQUIVALENT_0089-00360,CARBON STEEL PIPE 50mm SCH 40 ITEM 0089,"{""size"": ""50 mm"", ""standard"": ""ASTM A106-0089""}",equivalent_0089,unit_format
cpse-03971,maintenance,NTP-EQUIVALENT_0992-03971,ITEM 0992 DEEP GROOVE BALL BEARING 6205,"{""size"": ""6205"", ""standard"": ""ISO 15-0992""}",equivalent_0992,terminology
cpse-02032,catalogue,BHE-EQUIVALENT_0507-02032,STEEL HEX NUT 10 mm GRADE B ITEM 0507,"{""grade"": ""B"", ""size"": ""M10"", ""standard"": ""ISO 4032-0507""}",equivalent_0507,unit_format
cpse-00442,catalogue,BHE-EQUIVALENT_0110-00442,STEEL BOLT M12 GR B ITEM 0110,"{""grade"": ""B"", ""size"": ""M12"", ""standard"": ""ISO 4014-0110""}",equivalent_0110,abbreviation
cpse-04093,catalogue,IOC-EQUIVALENT_1023-04093,STEEL HEX NUT M10 GRADE B ITEM 1023,"{""grade"": ""B"", ""size"": ""M10"", ""standard"": ""ISO 4032-1023""}",equivalent_1023,exact
cpse-02023,catalogue,IOC-EQUIVALENT_0505-02023,ITEM 0505 STEEL HEX BOLT M10 GRADE C,"{""grade"": ""C"", ""size"": ""M10"", ""standard"": ""ISO 4014-0505""}",equivalent_0505,terminology
cpse-04650,erp,HPC-EQUIVALENT_1162-04650,SPIRAL WOUND GASKET DN50 ITEM 1162,"{""size"": ""DN50"", ""standard"": ""ASME B16.20-1162""}",equivalent_1162,abbreviation
cpse-07461,erp,NTP-EQUIVALENT_1865-07461,CARBON STEEL PIPE 50 MM SCH 40 ITEM 1865,"{""size"": ""50 mm"", ""standard"": ""ASTM A106-1865""}",equivalent_1865,exact
cpse-07170,erp,HPC-EQUIVALENT_1792-07170,STEEL WASHER M10 ITEM 1792,"{""size"": ""M10"", ""standard"": ""ISO 7089-1792""}",equivalent_1792,abbreviation
cpse-08137,catalogue,COA-NEAR_MISS_0068_A-08137,STEEL BOLT M10 GRADE B ITEM NM0068,"{""grade"": ""B"", ""size"": ""M10"", ""standard"": ""ISO 4014""}",near_miss_0068_a,near_duplicate
cpse-08237,maintenance,COA-NEAR_MISS_0118_A-08237,WELD NECK FLANGE DN50 PN16 ITEM NM0118,"{""pressure"": ""PN16"", ""size"": ""DN50"", ""standard"": ""EN 1092""}",near_miss_0118_a,near_duplicate
cpse-08997,erp,COA-SINGLETON_0496-08997,UNIQUE CPSE MATERIAL 0496 CERAMIC LINER,"{""size"": ""1496 mm"", ""standard"": ""CPSE-OTHER""}",singleton_0496,unrelated
cpse-09250,catalogue,HPC-SINGLETON_0749-09250,UNIQUE CPSE MATERIAL 0749 CERAMIC LINER,"{""size"": ""1749 mm"", ""standard"": ""CPSE-OTHER""}",singleton_0749,unrelated
cpse-04342,catalogue,BHE-EQUIVALENT_1085-04342,CARBON STEEL PIPE 50 MM SCH 40 ITEM 1085,"{""size"": ""50 mm"", ""standard"": ""ASTM A106-1085""}",equivalent_1085,abbreviation
cpse-05428,catalogue,POW-EQUIVALENT_1356-05428,STEEL BOLT 10 mm GRADE B ITEM 1356,"{""grade"": ""B"", ""size"": ""M10"", ""standard"": ""ISO 4014-1356""}",equivalent_1356,unit_format
cpse-04139,maintenance,BPC-EQUIVALENT_1034-04139,ITEM 1034 STEEL HEX BOLT M12 GRADE B,"{""grade"": ""B"", ""size"": ""M12"", ""standard"": ""ISO 4014-1034""}",equivalent_1034,terminology
cpse-09736,catalogue,SAI-SINGLETON_1235-09736,UNIQUE CPSE MATERIAL 1235 CERAMIC LINER,"{""size"": ""2235 mm"", ""standard"": ""CPSE-OTHER""}",singleton_1235,unrelated
cpse-07662,erp,BHE-EQUIVALENT_1915-07662,POWER CABLE 4 CORE 240 V ITEM 1915,"{""size"": ""4 core"", ""standard"": ""CPSE-1915"", ""voltage"": ""240 V""}",equivalent_1915,abbreviation
cpse-09564,erp,ONG-SINGLETON_1063-09564,UNIQUE CPSE MATERIAL 1063 CERAMIC LINER,"{""size"": ""2063 mm"", ""standard"": ""CPSE-OTHER""}",singleton_1063,unrelated
cpse-09267,erp,COA-SINGLETON_0766-09267,UNIQUE CPSE MATERIAL 0766 CERAMIC LINER,"{""size"": ""1766 mm"", ""standard"": ""CPSE-OTHER""}",singleton_0766,unrelated
cpse-06354,erp,ONG-EQUIVALENT_1588-06354,STEEL WASHER M10 ITEM 1588,"{""size"": ""M10"", ""standard"": ""ISO 7089-1588""}",equivalent_1588,abbreviation
cpse-09001,catalogue,NTP-SINGLETON_0500-09001,UNIQUE CPSE MATERIAL 0500 CERAMIC LINER,"{""size"": ""1500 mm"", ""standard"": ""CPSE-OTHER""}",singleton_0500,unrelated
